Plant Abbr,Month,Day,Year,PMMoV_gc_g_dry_weight,PMMoV_gc_g_dry_weight_UCI,PMMoV_gc_g_dry_weight_LCI,BCoV_Recovery,BCoV_Recovery_UCI,BCoV_Recovery_LCI,N_Gene_gc_g_dry_weight,N_Gene_gc_g_dry_weight_UCI,N_Gene_gc_g_dry_weight_LCI,S_Gene_gc_g_dry_weight,S_Gene_gc_g_dry_weight_UCI,S_Gene_gc_g_dry_weight_LCI,ORF1a_gc_g_dry_weight,ORF1a_gc_g_dry_weight_UCI,ORF1a_gc_g_dry_weight_LCI,HV_6970_Del_gc_g_dry_weight,HV_6970_Del_gc_g_dry_weight_UCI,HV_6970_Del_gc_g_dry_weight_LCI,Delta_156157_gc_g_dry_weight,Delta_156157_gc_g_dry_weight_UCI,Delta_156157_gc_g_dry_weight_LCI,Del_143145_gc_g_dry_weight,Del_143145_gc_g_dry_weight_UCI,Del_143145_gc_g_dry_weight_LCI,Influenza_A_gc_g_dry_weight,Influenza_A_gc_g_dry_weight_UCI,Influenza_A_gc_g_dry_weight_LCI,Influenza_B_gc_g_dry_weight,Influenza_B_gc_g_dry_weight_UCI,Influenza_B_gc_g_dry_weight_LCI,RSV_gc_g_dry_weight,RSV_gc_g_dry_weight_UCI,RSV_gc_g_dry_weight_LCI,BA_2_LPPA24S_gc_g_dry_weight,BA_2_LPPA24S_gc_g_dry_weight_UCI,BA_2_LPPA24S_gc_g_dry_weight_LCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight,BA_2_75_S_147E_S_152R_gc_g_dry_weight_UCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight_LCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight,BA_4_ORF1a_Del_141143_gc_g_dry_weight_UCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight_LCI,HMPV_4_gc_g_dry_weight,HMPV_4_gc_g_dry_weight_UCI,HMPV_4_gc_g_dry_weight_LCI,MPXV_G2R_G_gc_g_dry_weight,MPXV_G2R_G_gc_g_dry_weight_UCI,MPXV_G2R_G_gc_g_dry_weight_LCI,MPXV_G2R_WA_gc_g_dry_weight,MPXV_G2R_WA_gc_g_dry_weight_UCI,MPXV_G2R_WA_gc_g_dry_weight_LCI,Noro_G2_gc_g_dry_weight,Noro_G2_gc_g_dry_weight_UCI,Noro_G2_gc_g_dry_weight_LCI
SVCW,5,3,2021,942219312.2,1069829397,830109673,1.148,1.284,1.014,23374.42538,27893.08704,18750.92148,24932.83862,29677.0071,19677.74015,14024.2525,18812.44172,8516.678047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,3,2021,755814430.9,843157959,682120398.4,0.935,1.046,0.837,3478.152056,5297.259398,1971.748291,6260.734615,8793.494917,3433.59036,2086.880984,3572.759077,1010.508361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,3,2021,347080954.6,431857252.9,273573060.6,0.37,0.452,0.287,2770.599341,3650.529263,1946.051304,1847.0486,2787.020573,637.0488266,692.6350105,1185.797117,359.9380836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,3,2021,303209273.2,324656791.9,283184661.6,0.624,0.674,0.581,6326.377279,7986.58507,3653.150992,2977.049879,6078.747655,2040.754853,2232.776212,3282.204529,1420.227204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCD,5,4,2021,249291927.2,275790794.9,219550015.1,1.116,1.231,0.983,0,0,0,2137.012093,3658.585514,997.130224,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,4,2021,2173275118,2544668082,1944641398,0.422,0.481,0.374,2726.282723,3813.075464,1868.85593,3748.665253,5208.335644,2369.116674,1703.914746,2931.94901,682.1921978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,4,2021,653867162.4,808862838.8,516257440.4,0.693,0.839,0.519,11830.72634,13968.34742,9099.143506,16471.0159,19824.05747,12278.54087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,4,2021,1096380313,1205945135,997697430.4,0.385,0.433,0.333,9643.87194,11648.1564,7768.821205,12537.39323,15117.00565,10225.37134,10126.11326,11764.08336,8341.592636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,5,4,2021,1165372947,1347085109,1062447119,0.855,0.974,0.759,5350.68713,6797.310548,3837.983756,4621.013822,6148.688878,3264.977527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVCW,5,4,2021,10638097692,12311631944,9554837602,1.562,1.66,1.457,20126.38031,24745.27889,15104.96934,20126.38031,24510.04585,16299.6727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,4,2021,1183924784,1230709216,1140365633,1.79,1.889,1.704,0,0,0,5944.419932,8738.357533,3213.052788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,4,2021,477937018.4,562136344.8,401054243.6,0.658,0.769,0.54,980.536964,1566.171482,424.1821194,735.4009578,1281.084683,203.3968069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,4,2021,282758611.2,338565225.8,217608813.6,0.538,0.658,0.381,2295.166003,3236.777642,1520.75274,2550.190571,3446.611704,1824.648774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCD,5,5,2021,172175025.8,189714898,151439105.2,1.296,1.422,1.145,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,5,2021,1255826110,1295448292,1213478701,0.801,0.843,0.76,8053.654298,10638.71847,5554.200959,14318.09724,16992.69775,11547.29166,13423.15048,16018.07276,11124.96708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,5,2021,734993041.1,762868582.1,709903651.1,0.461,0.486,0.431,23219.31133,25595.42218,20805.68429,30884.08193,33562.14458,28206.16445,27167.68069,29802.31988,24462.92016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,5,2021,1127160902,1177450240,1077499976,0.475,0.503,0.448,9407.420435,10914.48584,8033.717579,9407.420435,11113.96685,7680.001903,10720.23408,12319.29065,9266.075741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,5,5,2021,983081120,1105223047,867362435,0.386,0.435,0.331,6398.103078,7846.125287,5016.115507,7820.013683,9299.317043,6367.95616,15878.27302,27774.11143,5773.56974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVCW,5,5,2021,1151707788,1301712335,1006223033,0.46,0.521,0.398,6868.621882,10096.93956,3834.164221,18316.75043,23284.26074,13042.4593,8013.410506,11461.547,4505.684953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,5,2021,1786496245,1941014633,1663583448,0.653,0.715,0.6,2880.638935,4601.126279,1654.200196,11522.88138,14647.89283,8877.582667,5761.331659,8058.003294,3630.854735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,5,2021,782254727.5,965821329.6,623064804.1,0.273,0.335,0.201,1161.087615,1768.347342,647.5064437,1625.530267,2331.634207,1054.509233,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,5,2021,177690861.2,231979858.8,130920482.5,0.197,0.253,0.144,1460.875198,2089.483741,973.1462984,1252.175791,1840.710499,804.9363344,1460.875198,2089.483741,973.1462984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCD,5,6,2021,204834619,215952406,192894350.6,1.421,1.498,1.335,0,0,0,7204.94384,11177.82491,2845.34711,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,6,2021,695969073.4,769672096.2,629633725.2,0.611,0.681,0.544,12364.53607,14754.81582,9850.404365,14425.47301,17395.78621,11348.70567,11952.3545,14431.42568,9631.736603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,6,2021,2366172488,2633634086,2178237754,0.446,0.487,0.403,15446.96237,17950.12248,12857.0628,21940.73119,24222.05377,19807.53682,13431.84392,15668.40485,11110.15836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,6,2021,1470336380,1514945177,1421866202,0.49,0.53,0.444,16601.38453,18709.80994,14512.07189,15703.86654,17647.91015,13908.20826,14806.36572,16696.74706,12844.6466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,5,6,2021,876390469.9,1090198697,780488151.8,0.445,0.542,0.379,49597.34227,57759.31656,41818.42507,64289.51827,75488.86735,53401.47966,57339.86826,67126.832,47071.14533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVCW,5,6,2021,1299387306,1394545553,1229528932,0.726,0.773,0.688,8104.199111,11126.25334,5686.410148,19810.87285,24694.18988,15232.13916,9004.686216,12169.93549,6442.809948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,6,2021,1690212457,1789989258,1602942275,0.989,1.029,0.955,3902.140194,6062.365109,2223.095364,4682.579041,6883.436309,2948.898475,3902.140194,6047.846477,2210.970852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,6,2021,808938113.6,899036583.4,733319874.5,0.584,0.649,0.518,674.6435011,1154.9955,349.2134503,1799.070377,2516.24355,1233.255557,1349.296478,2095.704812,689.9414154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,6,2021,356359268.9,446705442.6,263290210.9,0.287,0.354,0.201,883.132182,1410.590724,385.7043353,0,0,0,1324.704376,2052.75941,583.9144098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,7,2021,1970787392,2688057848,1505937474,0.787,0.842,0.739,25533.56335,29263.50409,19774.75228,21027.17148,24428.47529,15990.92125,27536.46655,31402.6853,23755.99645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,7,2021,389250017.5,466213057.9,323047280.4,0.27,0.327,0.213,11850.96117,13741.16558,9558.444432,13273.27324,16392.52147,9845.301259,8769.429962,11173.05098,6318.711078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,7,2021,1276061224,1529696164,1152250688,0.309,0.361,0.272,8894.74538,10965.15886,6508.218985,13462.92547,15820.26995,11049.62313,10096.85827,12179.88743,7637.432826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,5,7,2021,1707801080,2077231130,1479842647,0.481,0.558,0.396,28074.18505,34652.71508,22285.84854,33266.0752,38102.16022,28579.89394,24534.56387,29212.39022,20014.90003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVCW,5,7,2021,1922224175,2021121961,1839205295,0.923,0.979,0.875,28106.27407,33112.90105,23632.24242,22484.64161,26994.78361,18507.8515,18469.30398,22585.02536,14886.9027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,7,2021,1941900370,2165706203,1758132713,0.802,0.849,0.768,5147.308543,7199.208373,3528.459133,6434.165482,8695.847746,4467.476537,5147.308543,7199.208373,3296.104246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,7,2021,655416759.4,743253773.6,577796085.2,0.498,0.565,0.435,1136.225641,1814.846743,507.391224,2556.538129,3739.730254,1383.149605,852.1671355,1483.740494,244.715179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,7,2021,398748606.8,484174756.6,313211145.7,0.377,0.453,0.288,1015.852989,1622.580539,583.3512054,4063.528474,6098.289275,1993.958728,3301.593544,4588.176302,2036.460881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,8,2021,1240685920,1295863560,1189665294,0.679,0.736,0.62,18126.18006,21036.69984,15477.55514,20234.11252,23285.22092,17462.18999,15175.15637,17838.2408,12584.07661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,8,2021,579956492.8,633751815.4,519579076.6,0.372,0.407,0.33,11887.47699,13923.78196,9336.310777,11159.58874,13473.01556,8921.894047,9218.604136,10791.03763,7800.429907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,8,2021,2125264836,2202024857,2071337081,0.579,0.614,0.553,15405.36002,17568.32646,13427.9185,17366.34025,19656.57402,15261.3696,18767.08501,21143.94348,16441.26035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,5,8,2021,484615732,594270772,395346311.2,0.204,0.251,0.156,8056.800169,9839.304437,6595.737528,7108.870094,9363.804824,5108.030789,3554.301892,4957.363739,2242.891744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVCW,5,8,2021,949862564.8,1359007939,700876112.6,0.125,0.168,0.09,2736.646145,4059.121976,1606.77442,5473.372355,7831.007687,3270.21358,4561.121191,6675.949736,2745.748752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,8,2021,1207263438,1259270647,1155489942,0.788,0.826,0.748,6313.583503,8532.880909,4009.956287,7576.336463,9982.54617,5238.604214,2525.396646,4035.006382,1450.203049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,8,2021,424846061.8,522021700.6,357190805.6,0.325,0.391,0.27,1630.187562,2396.39226,1047.933436,2173.593966,3040.066862,1489.989702,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,8,2021,220828947.2,272602436.9,169466410.1,0.215,0.266,0.16,2089.172731,2921.991706,1381.18704,2089.172731,3009.476531,960.0709356,2350.325021,3322.104527,1152.796835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,9,2021,759750413.2,859387144.2,651857409.4,0.499,0.567,0.42,4617.577332,6240.709012,2736.859444,3694.04432,5166.622309,2532.252134,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,9,2021,591962499.6,630017491.6,565053207.8,0.499,0.537,0.465,21386.52857,24258.45124,18226.36704,26802.18578,29874.2368,23506.61752,17595.89144,19859.95248,15048.00384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,9,2021,731898442.4,892102654.3,647203367.5,0.307,0.369,0.262,7687.621244,9245.899088,5587.688416,7207.108388,9270.592487,5514.664038,6726.600976,9032.847764,4657.565867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,5,9,2021,661462139.6,846287575.1,506594509.6,0.233,0.278,0.189,4240.749131,5587.596193,3130.000765,3887.34315,5183.292119,2672.029225,2827.136534,3954.13667,1937.98948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVCW,5,9,2021,2102344051,2232388418,2010995070,0.851,0.911,0.803,4735.365695,7563.607928,2645.43534,8286.952972,11852.80158,5347.896138,10654.70775,14627.8555,7223.155028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,9,2021,5396910400,5793579101,5128909099,0.872,0.925,0.834,6405.731539,8959.288399,4391.100505,3202.832987,5115.755896,1839.218662,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,9,2021,476291603.2,582438984.8,410084198.8,0.442,0.536,0.377,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,9,2021,137824845.7,184827740.4,92636144.42,0.216,0.29,0.14,0,0,0,825.4927698,1413.251183,235.0108726,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,10,2021,492743797.9,605978746.9,377329058.8,0.429,0.528,0.315,4368.796684,6161.769229,2771.712604,3432.601795,5153.581553,1922.822627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,10,2021,376521534,468056475,294451938.8,0.335,0.412,0.26,8932.294147,12628.24549,6213.655579,8661.596113,11318.05054,6395.195837,9202.99285,12159.3664,6751.610735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,10,2021,2025599416,2331045094,1774959682,0.439,0.487,0.377,6485.734348,7739.536666,5375.308878,7782.995212,9148.836974,6260.348759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,5,10,2021,463364098,587747676.1,356884232,0.213,0.262,0.161,55292.74444,67580.97871,43701.36209,59923.46903,73294.54579,46328.62798,51149.81648,67955.45486,35168.09797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVCW,5,10,2021,358527007.3,405960718,288688997.6,0.173,0.193,0.139,1674.677168,2674.894045,718.8282824,2930.707046,4423.331362,1514.550956,1256.004676,2150.291698,610.8265328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,10,2021,2172292375,2424349764,2016356294,0.761,0.851,0.7,2491.082492,3978.905111,1430.497999,3113.860738,4927.432969,1483.828715,1868.307197,3198.558937,907.7487408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,10,2021,1035711122,1604827615,746119579.3,0.41,0.462,0.36,0,0,0,790.385319,1353.146546,382.2281741,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,10,2021,371118769.7,421846535.9,332260515.1,0.429,0.491,0.378,1439.40726,2192.231482,882.6402728,1151.522925,1839.280867,476.8798518,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,11,2021,531319847.5,584854027.2,488081008.2,0.793,0.884,0.712,1030.457587,1764.15239,501.3658886,1717.437449,2615.673655,921.125696,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,11,2021,194913369.6,264034299.5,136246137.2,0.18,0.246,0.118,5444.298188,6755.417144,3952.046237,8620.452548,10600.95981,6062.597588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,11,2021,962796081.4,1001827197,895642689.6,0.691,0.737,0.633,4203.211897,5306.242945,2956.82859,5934.049092,7226.528557,4805.783666,5934.049092,7226.528557,4805.783666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,5,11,2021,665726209.6,750422145.4,585120660.6,0.553,0.622,0.478,8493.314885,12240.95497,3870.677221,5662.028218,7191.122978,3873.078757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVCW,5,11,2021,1307480812,1386235094,1238260434,0.765,0.809,0.728,7425.482231,9900.960587,5044.629281,4725.25881,6765.65003,3001.501477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,11,2021,2885858365,3212006948,2618278274,0.851,0.905,0.801,6229.18414,9156.962237,3897.093493,6229.18414,9156.962237,3525.259508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,11,2021,714901377.6,823273614.7,638123054.8,0.677,0.712,0.645,2001.786458,2799.770374,1372.216194,1751.558729,2632.933258,966.6744286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,11,2021,171050701.9,222809520.8,118474867.3,0.258,0.33,0.181,1282.214557,1902.475514,721.2532003,641.1026446,1097.573408,313.2331849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,12,2021,1371307740,1416255096,1326449501,0.779,0.808,0.751,8013.112297,10255.4449,5739.496705,9515.63986,11978.52463,7162.947472,4507.299004,6188.07149,3162.60063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,12,2021,362080558.4,463864519.3,272491455.1,0.398,0.507,0.282,3788.094052,5105.700324,2696.635944,7305.859868,8799.899471,5954.632992,4058.682528,5656.418903,2525.894042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,12,2021,1643782552,1954411301,1445735537,0.428,0.493,0.362,12198.15781,14286.13897,9854.077261,9546.151236,11381.71695,7406.477632,8750.574241,10364.69898,6879.182435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,5,12,2021,1179082842,1334604773,1056242726,0.505,0.567,0.44,6417.585961,8189.865084,4690.172034,9855.946925,11513.77407,8061.72514,8022.122041,9595.009872,6726.394788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVCW,5,12,2021,893949924,923084201.4,857433214,0.932,0.973,0.89,9657.608669,12877.228,7025.416162,6145.686043,9130.157896,4093.880124,6145.686043,8790.156577,2991.002136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,12,2021,450417480.5,468561799.4,437177734.4,1.287,1.376,1.221,3239.480654,4762.069729,1749.397706,2699.560531,4111.457216,1429.288543,4319.329193,6092.799228,2543.452684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,12,2021,345822957.4,382875671.4,309495917.4,0.605,0.678,0.53,1546.901134,2273.960412,960.6637062,1804.72268,2581.288086,1202.196131,773.4448547,1324.144668,376.5113652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,12,2021,216171545.4,273886813.6,155153351.8,0.312,0.385,0.231,0,0,0,0,0,0,1099.865739,1882.979719,312.3319649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCD,5,13,2021,300624850,307579717.1,292210037.5,1.13,1.163,1.085,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,13,2021,537616645,585780746.3,493496365,0.843,0.924,0.77,4346.339003,5971.790306,2719.403969,5795.174647,7366.831816,4464.780055,5795.174647,7597.657422,3881.042438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,13,2021,560018811.8,657425577.1,484306193.8,0.519,0.607,0.439,32684.16517,39116.89901,25162.86466,20202.41569,23699.58716,16047.23623,20796.71851,24054.9325,16834.23448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,13,2021,2385102781,2471687167,2323262688,0.937,0.981,0.882,9486.602218,11403.06622,7615.088064,16075.51169,18213.92005,14111.66902,13176.29172,15121.12448,11405.99893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,5,13,2021,1189770221,1313333461,1070106656,0.683,0.752,0.599,17724.24412,20649.24802,14894.11398,17724.24412,20231.25193,15362.32069,18442.92809,21506.67228,15703.81589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVCW,5,13,2021,586016209.9,770472908,427430089.3,0.297,0.386,0.205,6453.165163,8926.464866,4126.666424,5956.752847,8316.240584,3581.096729,2978.3311,4696.477204,1287.297656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,13,2021,1076820510,1114906562,1039243829,1.07,1.134,1.012,6940.533298,9707.279608,4397.260471,6940.533298,10819.45303,3117.976333,7808.119478,10719.76832,5304.60295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,13,2021,658475447.4,753697901.8,570113118.5,0.588,0.668,0.502,6820.834711,9222.203566,4376.03431,5115.550978,7163.131679,2896.791991,5968.186592,7364.830854,4760.573676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,13,2021,426270306.4,517944723.6,340685136.8,0.571,0.675,0.465,1813.065782,2593.220742,1207.754038,1554.052723,2367.14626,881.9311386,1554.052723,2284.47281,872.963521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCD,5,14,2021,254628611.2,261520866.5,247069619.4,1.277,1.331,1.227,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,14,2021,883014551.6,915493393.3,848714828.3,0.825,0.862,0.788,4307.007416,6114.474187,2187.721897,7657.033081,9733.628483,5589.758977,4307.007416,5913.091202,2988.016232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,14,2021,342494506,441771181.6,263225936.4,0.406,0.511,0.307,7491.932861,9644.33484,5090.153371,9365.076928,11637.15393,6462.172129,7224.347393,10029.43672,4087.946474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,14,2021,1385600260,1450169141,1323823177,0.555,0.587,0.521,8538.371405,10500.14115,6518.42944,8789.521536,10551.58424,7151.74357,9542.980194,11170.74203,8081.782025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,5,14,2021,2243573901,2302881415,2189212558,0.997,1.031,0.96,20760.60752,23792.3692,17609.27836,21947.14274,24703.99655,19387.34442,15718.09877,18121.95506,12933.11158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVCW,5,14,2021,713703001.4,772505666.9,660151616.8,0.897,0.961,0.827,4438.587349,6100.050725,2787.676171,3994.718956,5484.350117,2398.635349,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil,5,14,2021,1935833966,2022789172,1848979583,1.215,1.286,1.137,12692.86502,15521.35415,10230.89224,21523.50214,25144.80956,18242.35327,16556.18644,20316.56254,12143.45664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,5,14,2021,647388590,676024453.4,612076056.1,0.998,1.048,0.932,1924.618793,2829.209048,1181.312256,3849.293758,5071.812275,2507.20957,3528.510922,4704.830327,2566.812342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,5,14,2021,313023686.5,387967790.3,250450411.9,0.583,0.708,0.46,2621.145996,3520.031849,1716.482053,1191.412944,1814.533198,730.5710441,953.1280591,1522.39239,411.117536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCD,5,15,2021,330206298.8,339142063.7,321327173.2,1.023,1.059,0.985,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,5,15,2021,798793521.2,835996449.4,759015217.4,0.712,0.744,0.678,3574.424431,5112.485725,2381.063977,7659.629612,9811.574338,5848.33228,3574.424431,5112.485725,2381.063977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,5,15,2021,694945733.6,722958304.4,666895577.2,0.581,0.624,0.536,18221.05596,21064.55531,15804.24226,20499.15156,23573.86904,17247.95326,15436.85806,17490.31547,13551.03029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,5,15,2021,1280321723,1310967068,1252721626,0.583,0.618,0.551,9956.182373,11678.25593,8412.580356,13454.74985,15440.69714,11647.03767,12647.36785,14575.68804,10897.27481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
