Plant Abbr,Month,Day,Year,PMMoV_gc_g_dry_weight,PMMoV_gc_g_dry_weight_UCI,PMMoV_gc_g_dry_weight_LCI,BCoV_Recovery,BCoV_Recovery_UCI,BCoV_Recovery_LCI,N_Gene_gc_g_dry_weight,N_Gene_gc_g_dry_weight_UCI,N_Gene_gc_g_dry_weight_LCI,S_Gene_gc_g_dry_weight,S_Gene_gc_g_dry_weight_UCI,S_Gene_gc_g_dry_weight_LCI,ORF1a_gc_g_dry_weight,ORF1a_gc_g_dry_weight_UCI,ORF1a_gc_g_dry_weight_LCI,HV_6970_Del_gc_g_dry_weight,HV_6970_Del_gc_g_dry_weight_UCI,HV_6970_Del_gc_g_dry_weight_LCI,Delta_156157_gc_g_dry_weight,Delta_156157_gc_g_dry_weight_UCI,Delta_156157_gc_g_dry_weight_LCI,Del_143145_gc_g_dry_weight,Del_143145_gc_g_dry_weight_UCI,Del_143145_gc_g_dry_weight_LCI,Influenza_A_gc_g_dry_weight,Influenza_A_gc_g_dry_weight_UCI,Influenza_A_gc_g_dry_weight_LCI,Influenza_B_gc_g_dry_weight,Influenza_B_gc_g_dry_weight_UCI,Influenza_B_gc_g_dry_weight_LCI,RSV_gc_g_dry_weight,RSV_gc_g_dry_weight_UCI,RSV_gc_g_dry_weight_LCI,BA_2_LPPA24S_gc_g_dry_weight,BA_2_LPPA24S_gc_g_dry_weight_UCI,BA_2_LPPA24S_gc_g_dry_weight_LCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight,BA_2_75_S_147E_S_152R_gc_g_dry_weight_UCI,BA_2_75_S_147E_S_152R_gc_g_dry_weight_LCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight,BA_4_ORF1a_Del_141143_gc_g_dry_weight_UCI,BA_4_ORF1a_Del_141143_gc_g_dry_weight_LCI,HMPV_4_gc_g_dry_weight,HMPV_4_gc_g_dry_weight_UCI,HMPV_4_gc_g_dry_weight_LCI,MPXV_G2R_G_gc_g_dry_weight,MPXV_G2R_G_gc_g_dry_weight_UCI,MPXV_G2R_G_gc_g_dry_weight_LCI,MPXV_G2R_WA_gc_g_dry_weight,MPXV_G2R_WA_gc_g_dry_weight_UCI,MPXV_G2R_WA_gc_g_dry_weight_LCI,Noro_G2_gc_g_dry_weight,Noro_G2_gc_g_dry_weight_UCI,Noro_G2_gc_g_dry_weight_LCI
PA,11,22,2020,763750513.2,821072988,722036684.4,0.542,0.56,0.523,48084.07884,53309.0226,43096.80264,68393.27676,75970.72728,61664.18076,41137.15464,47352.62316,35101.9206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,11,22,2020,659908694.4,695223214.8,643658748,0.29,0.313,0.269,51681.23832,56107.1694,45916.06296,115523.6173,121434.6648,109613.255,86466.9852,93624.19284,78609.79356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11,23,2020,631797050.4,766453789.2,602545004.4,0.605,0.689,0.547,32885.39148,40338.576,28265.74824,32354.87976,40743.46296,27324.92832,20684.47476,24360.99816,16563.50616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,11,23,2020,1158311528,1387604580,1143347180,0.494,0.547,0.445,157696.8504,166104.6348,147855.7488,180602.7048,191062.5036,169884.3336,164432.7684,172337.6484,154890.7668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,11,23,2020,351786986.4,553790052,350554621.2,0.313,0.399,0.257,83973.7464,107241.2376,65385.42948,71921.51892,89975.33832,58845.83124,69243.61752,89068.88364,55292.41116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11,24,2020,207821598,259570329.6,180283237.2,0.226,0.271,0.184,98965.80216,111057.8905,71963.63484,83843.1978,93998.93244,62611.90452,69699.38448,79386.06528,54591.96864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,11,24,2020,167872613,180261771.8,154471650.4,0.399,0.496,0.292,41221.00198,48334.55556,32324.353,55260.88884,62765.21696,45430.19023,42390.85338,48827.0881,33811.72475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,11,24,2020,1022023991,1190212367,1001441050,0.314,0.351,0.272,90043.01448,113394.6894,73272.04116,218347.9824,244551.3516,201858.2052,176163.2148,197233.7568,159321.8328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,11,24,2020,638124758.4,1539440831,636154255.2,0.203,0.254,0.149,220746.2352,275250.3468,146624.8524,200227.2288,251063.2932,131487.1128,183882.5892,233966.5488,117653.5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11,25,2020,488256723.6,582371756.4,447989038.8,0.593,0.691,0.516,30187.12176,36724.12344,24381.3444,43396.63464,52728.45564,36025.31856,33961.10148,40841.6808,27375.96936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,11,25,2020,664637587.2,859678184.4,656290173.6,0.306,0.341,0.27,152320.6752,178299.3228,126415.9872,178819.734,205330.7016,152023.44,168334.9512,194034.4008,142805.5908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,11,25,2020,137743011.6,188712363.6,115620081.6,0.176,0.218,0.139,56398.5078,70515.74628,40061.91816,47746.22676,58712.7156,34875.64464,37967.35476,48045.0168,26341.88844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11,26,2020,689061033.6,751748427.6,653371984.8,0.717,0.768,0.671,20573.901,24487.146,17157.08928,29576.15844,34137.36216,25162.86012,14787.11268,19511.2572,9942.734928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,11,26,2020,606898191.6,1017599744,605114682,0.371,0.44,0.303,256082.7672,311361.7908,203014.3116,397451.9172,478366.8372,323808.5472,373769.316,449552.7156,304512.1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dav,11,26,2020,172996521.6,274474100.4,148090227.6,0.229,0.314,0.162,61809.23124,84828.03492,45461.31156,64132.12644,85537.64844,49209.57876,56873.43324,74012.5488,44118.10176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
